Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,dz,ra,ts,tsra,vcts
2007-06-10,1.5,81.0,58.0,69.5,1.0,50.5,59.5,0.0,4.5,416.0,1926.0,0.0,29.365000000000002,30.045,4.699999999999999,16.5,5.699999999999999,0.0,0.0,0.0,0.0,0.0
2007-06-11,1.5,85.5,61.5,73.5,5.0,51.5,61.0,0.0,8.5,416.0,1926.0,0.0,29.439999999999998,30.1,5.75,10.0,7.65,0.0,0.0,0.0,0.0,0.0
2007-06-12,1.5,82.5,64.0,73.5,5.0,50.5,60.5,0.0,8.5,416.0,1927.0,0.0,29.465,30.15,8.850000000000001,5.0,9.4,0.0,0.0,0.0,0.0,0.0
2007-06-13,1.5,86.5,64.0,75.5,6.0,53.0,62.0,0.0,10.5,416.0,1927.0,0.0,14.68,30.09,7.1,5.0,8.6,0.0,0.0,0.0,0.0,0.0
2007-06-14,1.5,89.0,66.0,78.0,9.0,54.5,63.5,0.0,13.0,416.0,1928.0,0.0,29.33,30.009999999999998,5.75,6.0,6.6,0.0,0.0,0.0,0.0,0.0
2007-06-15,1.5,90.0,65.0,77.5,9.0,56.0,64.5,0.0,12.5,416.0,1928.0,0.0,29.310000000000002,29.979999999999997,3.9499999999999997,7.5,4.5,0.0,0.0,0.0,0.0,0.0
2007-06-16,1.5,92.5,67.0,80.0,11.0,60.5,67.5,0.0,15.0,416.0,1929.0,0.0,29.295,29.965,3.45,25.0,5.949999999999999,0.0,0.5,0.0,0.0,0.0
2007-06-17,1.5,91.0,70.5,81.0,12.0,64.5,70.0,0.0,16.0,416.0,1929.0,0.08,29.255000000000003,29.939999999999998,3.4,11.0,6.199999999999999,0.0,0.0,0.0,0.0,0.0
2007-06-18,1.5,89.0,71.0,80.0,9.0,65.0,70.0,0.0,15.0,416.0,1929.0,0.15000000000000002,29.155,29.835,13.1,20.0,13.85,0.0,1.0,0.0,1.0,0.0
2007-06-19,1.5,80.5,65.0,73.0,3.0,55.0,63.0,0.0,8.0,416.0,1930.0,0.755,29.285,29.939999999999998,10.399999999999999,28.5,11.350000000000001,0.0,1.0,0.0,0.0,0.0
2007-06-20,1.5,84.5,61.5,73.5,3.0,51.0,61.0,0.0,8.5,416.0,1930.0,0.0,29.425,30.095,6.85,27.5,8.25,0.0,0.0,0.0,0.0,0.0
2007-06-21,1.5,78.5,63.5,71.0,-0.5,51.0,60.5,0.0,6.0,416.0,1930.0,0.005,29.384999999999998,30.07,3.6,2.5,10.149999999999999,0.0,1.0,0.0,0.0,0.0
2007-06-22,1.5,75.5,61.5,69.0,-0.5,49.5,58.0,0.0,4.0,417.0,1931.0,0.0,29.36,30.055,7.15,6.5,8.399999999999999,0.0,1.0,0.0,0.0,0.0
2007-06-23,1.5,67.5,61.5,65.0,-2.5,59.0,61.5,0.0,0.0,417.0,1931.0,0.195,29.255000000000003,29.955,7.449999999999999,11.5,8.55,0.0,1.0,0.0,0.0,0.0
2007-06-24,1.5,76.0,64.0,70.0,-0.5,62.0,65.0,0.0,5.0,417.0,1931.0,0.0,29.295,29.965,6.3,9.5,7.0,0.0,0.0,0.0,0.0,0.0
2007-06-25,1.5,87.5,66.0,77.0,6.0,66.5,70.0,0.0,12.0,417.0,1931.0,0.0,29.41,30.064999999999998,3.95,13.0,6.35,0.0,0.0,0.0,0.0,0.0
2007-06-26,1.5,91.5,71.5,81.5,10.0,69.0,72.0,0.0,16.5,418.0,1931.0,0.08,29.42,30.1,6.699999999999999,21.5,7.6,0.0,0.0,0.0,0.5,0.5
2007-06-27,1.5,90.0,71.0,80.5,10.0,69.5,72.0,0.0,15.5,418.0,1931.0,0.25,29.325,30.009999999999998,7.7,24.0,8.65,0.0,0.5,0.0,1.0,0.0
2007-06-28,1.5,73.5,59.5,66.5,-2.5,55.5,60.5,0.0,1.5,419.0,1931.0,0.0,29.42,30.08,12.05,2.5,12.9,0.0,0.0,0.0,0.0,0.0
2007-06-29,1.5,70.5,56.0,63.5,-4.0,55.5,59.5,1.5,0.0,419.0,1931.0,0.0,29.439999999999998,30.119999999999997,7.5,2.0,8.25,0.0,0.0,0.0,0.0,0.0
2007-06-30,1.5,78.0,56.0,67.5,-2.5,47.5,57.0,0.0,2.5,419.0,1931.0,0.0,29.435000000000002,30.119999999999997,5.0,3.5,6.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,1.5,75.5,57.5,67.0,-3.5,51.5,58.5,0.0,2.0,420.0,1931.0,0.0,29.535,30.22,9.05,4.0,9.149999999999999,0.0,0.0,0.0,0.0,0.0
2007-07-02,1.5,78.0,55.5,67.0,-3.0,50.0,58.5,0.0,2.0,420.0,1931.0,0.0,29.52,30.215,6.65,13.0,8.3,0.0,0.0,0.0,0.0,0.0
2007-07-03,1.5,83.0,61.5,72.5,0.0,56.5,63.0,0.0,7.5,421.0,1931.0,0.245,29.345,30.055,6.550000000000001,21.0,7.35,0.0,1.0,0.0,1.0,0.0
2007-07-04,1.5,85.0,67.0,76.5,5.0,65.0,69.0,0.0,11.5,422.0,1930.0,0.41000000000000003,29.205,29.89,3.8499999999999996,26.0,8.5,0.0,0.5,0.0,1.0,0.0
2007-07-05,1.5,88.5,70.5,79.5,8.0,60.0,67.0,0.0,14.5,422.0,1930.0,0.0,29.265,29.93,5.35,32.0,7.5,0.0,0.0,0.0,0.0,0.0
2007-07-06,1.5,85.0,67.0,76.0,4.0,57.0,64.5,0.0,11.0,423.0,1930.0,0.0,29.35,30.020000000000003,3.25,6.0,5.5,0.0,0.0,0.0,0.0,0.0
2007-07-07,1.5,89.0,66.0,77.5,5.0,62.5,68.5,0.0,12.5,423.0,1930.0,0.0,29.21,29.905,7.9,22.5,8.35,0.0,0.0,0.0,0.0,0.0
2007-07-08,1.5,93.5,75.0,84.5,12.0,67.0,72.0,0.0,19.5,424.0,1929.0,0.0,29.085,29.765,12.75,23.5,12.899999999999999,0.0,0.0,0.0,0.0,0.0
2007-07-09,1.5,93.5,71.0,82.5,9.0,66.5,70.5,0.0,17.5,425.0,1929.0,0.27,29.134999999999998,29.795,4.85,23.5,8.8,0.0,1.0,0.0,0.5,0.5
2007-07-10,1.5,89.0,69.5,79.5,6.0,67.0,70.5,0.0,14.5,425.0,1929.0,0.255,29.095,29.765,8.399999999999999,23.0,10.35,0.0,0.0,0.0,0.5,0.5
2007-07-11,1.5,77.0,62.5,70.0,-1.5,51.0,59.0,0.0,5.0,426.0,1928.0,0.0,29.255000000000003,29.925,8.95,30.0,11.05,0.0,0.0,0.0,0.0,0.0
2007-07-12,1.5,80.0,60.5,70.5,-1.0,51.0,59.5,0.0,5.5,427.0,1928.0,0.0,29.25,29.925,9.7,28.5,11.25,0.0,0.0,0.0,0.0,0.5
2007-07-13,1.5,76.0,58.5,67.5,-2.5,52.5,58.5,0.0,2.5,428.0,1927.0,0.0,29.295,29.98,1.7,4.0,5.55,0.0,0.0,0.0,0.0,0.0
2007-07-14,1.5,84.5,61.5,73.5,0.0,55.0,62.0,0.0,8.5,428.0,1927.0,0.0,29.11,29.79,8.350000000000001,25.5,13.55,0.0,0.0,0.0,0.0,0.0
2007-07-15,1.5,81.0,62.0,71.5,-1.5,52.5,61.0,0.0,6.5,429.0,1926.0,0.0,29.22,29.884999999999998,1.65,19.0,5.7,0.0,0.0,0.0,0.0,0.0
2007-07-16,1.5,82.0,65.5,74.0,0.0,60.0,65.0,0.0,9.0,430.0,1925.0,0.23,29.28,29.950000000000003,5.0,23.5,5.9,0.0,1.0,0.0,0.5,0.0
2007-07-17,1.5,83.0,68.5,76.0,2.0,65.5,69.0,0.0,11.0,431.0,1925.0,0.11,29.21,29.895,5.75,23.0,6.95,0.0,1.0,0.0,0.0,0.5
2007-07-18,1.5,85.0,69.0,77.0,3.0,68.5,71.0,0.0,12.0,432.0,1924.0,1.235,29.145,29.835,9.7,24.0,10.35,0.0,1.0,0.5,1.0,1.0
2007-07-19,1.5,82.5,63.0,73.0,-0.5,62.5,66.0,0.0,8.0,433.0,1923.0,0.085,29.235,29.89,7.35,18.5,13.15,0.5,0.0,0.0,0.0,0.0
2007-07-20,1.5,74.5,60.0,67.5,-3.5,52.5,59.0,0.0,2.5,433.0,1923.0,0.0,29.465,30.130000000000003,9.95,3.5,10.3,0.0,0.0,0.0,0.0,0.0
2007-07-21,1.5,74.5,58.0,66.5,-4.0,52.0,58.5,0.0,1.5,434.0,1922.0,0.0,29.54,30.215,6.15,3.5,7.4,0.0,0.0,0.0,0.0,0.0
2007-07-22,1.5,81.0,59.5,70.5,-2.0,54.5,61.0,0.0,5.5,435.0,1921.0,0.0,29.515,30.205,1.7999999999999998,17.0,3.4,0.0,0.0,0.0,0.0,0.0
2007-07-23,1.5,82.5,61.5,72.5,-1.0,55.0,63.0,0.0,7.5,436.0,1920.0,0.0,29.395000000000003,30.095,3.05,10.5,3.95,0.0,0.0,0.0,0.0,0.0
2007-07-24,1.5,82.0,65.0,74.0,0.0,57.5,64.0,0.0,9.0,437.0,1919.0,0.0,29.35,30.035,2.1,20.5,5.050000000000001,0.0,0.0,0.0,0.0,0.0
2007-07-25,1.5,84.0,70.5,77.5,4.0,60.5,66.5,0.0,12.5,438.0,1918.0,0.0,29.32,29.994999999999997,6.1,24.0,6.8,0.0,0.0,0.0,0.0,0.0
2007-07-26,1.5,83.5,65.0,74.5,1.0,65.0,68.0,0.0,9.5,439.0,1918.0,0.54,29.22,29.915,7.2,22.0,9.65,0.0,0.5,1.0,1.0,0.0
2007-07-27,1.5,83.0,70.0,77.0,3.0,67.5,70.0,0.0,12.0,440.0,1917.0,0.10500000000000001,29.134999999999998,29.810000000000002,2.1,19.5,8.0,0.0,1.0,0.0,0.0,0.0
2007-07-28,1.5,80.0,68.0,74.0,-0.5,65.0,68.0,0.0,9.0,441.0,1916.0,0.0,29.255000000000003,29.92,10.3,3.0,10.45,0.0,0.0,0.0,0.0,0.0
2007-07-29,1.5,85.0,65.0,75.0,0.0,56.5,64.0,0.0,10.0,442.0,1915.0,0.0,29.310000000000002,29.979999999999997,5.55,5.0,6.300000000000001,0.0,0.0,0.0,0.0,0.0
2007-07-30,1.5,87.5,63.5,76.0,2.0,56.0,64.5,0.0,11.0,443.0,1914.0,0.0,29.36,30.020000000000003,3.45,6.0,4.449999999999999,0.0,0.0,0.0,0.0,0.0
2007-07-31,1.5,90.0,68.5,79.5,6.0,60.5,68.0,0.0,14.5,444.0,1913.0,0.0,29.36,30.03,3.65,5.5,4.95,0.0,0.0,0.0,0.0,0.0
2007-08-01,1.5,91.5,69.0,80.5,8.0,62.5,69.5,0.0,15.5,445.0,1911.0,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,0.0,0.0,0.0,0.0,0.0
2007-08-02,1.5,91.0,71.5,81.5,8.0,66.0,71.5,0.0,16.5,446.0,1910.0,0.0,29.285,29.96,6.0,24.5,6.550000000000001,0.0,0.0,0.0,0.0,0.0
2007-08-03,1.5,89.0,71.0,80.5,7.0,57.0,66.5,0.0,15.5,447.0,1909.0,0.0,29.335,30.009999999999998,3.0,4.5,5.75,0.0,0.0,0.0,0.0,0.0
2007-08-04,1.5,81.0,66.0,74.0,0.0,58.0,64.5,0.0,9.0,448.0,1908.0,0.025,29.335,30.020000000000003,5.800000000000001,8.5,6.35,0.0,1.0,0.0,0.0,0.0
2007-08-05,1.5,88.0,67.5,78.0,5.0,71.0,72.5,0.0,13.0,449.0,1907.0,1.2,29.115,29.799999999999997,6.2,21.5,9.899999999999999,0.0,1.0,0.0,1.0,0.5
2007-08-06,1.5,86.5,74.5,80.5,8.0,72.0,74.0,0.0,15.5,450.0,1906.0,0.155,29.15,29.82,2.1,10.0,4.75,0.0,0.5,0.5,1.0,0.0
2007-08-07,1.5,91.5,72.5,82.5,9.0,73.0,76.0,0.0,17.5,451.0,1904.0,0.685,29.085,29.75,6.25,24.5,8.9,0.0,0.5,0.0,0.0,0.5
2007-08-08,1.5,87.0,73.5,80.5,7.0,71.5,73.5,0.0,15.5,452.0,1903.0,0.075,29.155,29.82,2.25,3.5,6.65,0.5,1.0,0.0,1.0,0.0
2007-08-09,1.5,84.5,72.5,78.5,5.0,71.0,73.0,0.0,13.5,453.0,1902.0,0.255,29.16,29.83,2.8,28.0,6.15,0.0,0.5,0.0,1.0,0.0
2007-08-10,1.5,86.0,71.5,79.0,5.0,68.5,72.0,0.0,14.0,454.0,1900.0,0.0,29.29,29.950000000000003,3.75,4.0,5.65,0.0,0.0,0.0,0.0,0.0
2007-08-11,1.5,88.5,67.5,78.0,5.0,65.0,70.0,0.0,13.0,455.0,1859.0,0.0,29.345,30.009999999999998,3.1500000000000004,19.5,3.9,0.0,0.0,0.0,0.0,0.0
2007-08-12,1.5,87.5,67.5,78.0,5.0,67.0,70.5,0.0,13.0,456.0,1858.0,0.26,29.369999999999997,30.049999999999997,1.7999999999999998,6.0,6.0,0.0,0.0,0.0,1.0,0.0
2007-08-13,1.5,80.5,67.0,74.0,0.0,55.5,63.5,0.0,9.0,457.0,1856.0,0.0,29.415,30.095,6.550000000000001,7.0,7.300000000000001,0.0,0.0,0.0,0.0,0.0
2007-08-14,1.5,84.0,65.0,75.0,3.0,66.5,69.5,0.0,10.0,458.0,1855.0,0.43,29.259999999999998,29.925,6.15,24.0,8.5,0.0,1.0,0.5,1.0,0.0
2007-08-15,1.5,80.5,71.5,76.5,4.0,68.0,70.5,0.0,11.5,459.0,1854.0,0.53,29.200000000000003,29.880000000000003,4.15,6.5,6.449999999999999,0.0,1.0,0.5,1.0,0.0
2007-08-16,1.5,77.0,66.0,71.5,-0.5,64.5,67.5,0.0,6.5,500.0,1852.0,0.0,29.305,29.96,3.55,1.0,5.7,0.0,0.0,0.0,0.0,0.0
2007-08-17,1.5,79.5,62.5,71.5,-1.0,54.0,61.5,0.0,6.5,501.0,1851.0,0.0,29.435000000000002,30.09,6.0,31.5,7.1,0.0,0.0,0.0,0.0,0.0
2007-08-18,1.5,68.5,59.5,64.5,-4.0,54.0,58.0,0.5,0.0,502.0,1849.0,0.255,29.46,30.155,6.25,12.5,7.55,0.0,1.0,0.0,0.0,0.0
2007-08-19,1.5,68.5,62.0,65.5,-3.0,62.5,64.0,0.0,0.5,503.0,1848.0,1.33,29.27,29.985,5.75,10.0,7.45,0.0,1.0,1.0,0.0,0.0
2007-08-20,1.5,77.0,68.0,72.5,2.0,68.5,69.5,0.0,7.5,504.0,1846.0,0.6950000000000001,29.18,29.86,1.45,16.0,5.800000000000001,0.0,1.0,0.5,1.0,0.0
2007-08-21,1.5,86.0,69.0,77.5,7.0,70.0,72.0,0.0,12.5,505.0,1845.0,0.005,29.235,29.9,3.65,17.5,6.0,0.0,0.0,0.0,0.0,0.0
2007-08-22,1.5,90.0,69.5,80.0,9.0,70.5,73.0,0.0,15.0,506.0,1843.0,0.625,29.259999999999998,29.935000000000002,5.199999999999999,21.0,8.95,0.0,1.0,0.5,1.0,0.0
2007-08-23,1.5,88.0,69.5,79.0,7.0,69.0,71.0,0.0,14.0,508.0,1842.0,2.1550000000000002,29.18,29.865000000000002,8.15,21.0,10.399999999999999,0.0,0.5,1.0,1.0,0.5
2007-08-24,1.5,80.5,69.0,75.0,4.0,67.0,69.0,0.0,10.0,509.0,1840.0,0.22,29.134999999999998,29.814999999999998,5.65,25.0,7.199999999999999,0.0,1.0,0.5,1.0,0.0
2007-08-25,1.5,77.5,64.5,71.5,2.0,63.0,66.0,0.0,6.5,510.0,1839.0,0.29500000000000004,29.259999999999998,29.92,2.7,19.5,6.0,0.0,1.0,0.0,0.0,0.0
2007-08-26,1.5,78.5,60.5,70.0,0.0,55.0,61.5,0.0,5.0,511.0,1837.0,0.0,29.41,30.075,3.6500000000000004,11.0,5.0,0.0,0.0,0.0,0.0,0.0
2007-08-27,1.5,79.0,61.5,70.5,0.0,59.5,64.0,0.0,5.5,512.0,1835.0,0.0,29.384999999999998,30.064999999999998,6.45,16.5,7.35,0.0,0.0,0.0,0.0,0.0
2007-08-28,1.5,90.5,68.0,79.5,9.0,65.5,70.0,0.0,14.5,513.0,1834.0,0.0,29.310000000000002,29.985,8.4,20.5,8.9,0.0,0.0,0.0,0.0,0.0
2007-08-29,1.5,85.5,68.5,77.5,7.0,64.5,69.0,0.0,12.5,514.0,1832.0,0.0,29.365000000000002,30.03,5.449999999999999,3.0,8.5,0.0,0.0,0.0,0.0,0.0
2007-08-30,1.5,75.0,58.5,67.0,-2.0,54.0,60.5,0.0,2.0,515.0,1831.0,0.0,29.490000000000002,30.165,9.95,2.5,10.4,0.0,0.0,0.0,0.0,0.0
2007-08-31,1.5,76.5,57.0,67.0,-1.0,53.0,59.5,0.0,2.0,516.0,1829.0,0.0,29.494999999999997,30.18,3.45,5.0,4.9,0.0,0.0,0.0,0.0,0.0
2007-09-01,1.5,80.0,58.5,69.5,1.0,55.5,61.5,0.0,4.5,517.0,1827.0,0.0,29.515,30.21,4.300000000000001,11.0,4.7,0.0,0.0,0.0,0.0,0.0
2007-09-02,1.5,84.5,61.5,73.0,5.0,56.5,63.0,0.0,8.0,518.0,1826.0,0.0,29.439999999999998,30.14,4.5,21.0,5.5,0.0,0.0,0.0,0.0,0.0
2007-09-03,1.5,88.0,65.0,76.5,9.0,61.0,67.0,0.0,11.5,519.0,1824.0,0.0,29.39,30.08,2.5,26.0,6.0,0.0,0.0,0.0,0.0,0.0
2007-09-04,1.5,89.5,65.0,77.5,8.0,59.5,66.5,0.0,12.5,520.0,1822.0,0.0,29.310000000000002,29.994999999999997,2.5,23.0,4.65,0.0,0.0,0.0,0.0,0.0
2007-09-05,1.5,90.5,69.0,80.0,11.0,62.5,69.0,0.0,15.0,521.0,1821.0,0.0,29.275,29.950000000000003,6.4,19.0,6.6,0.0,0.5,0.0,0.0,0.0
2007-09-06,1.5,83.0,73.5,78.5,11.0,66.5,70.0,0.0,13.5,522.0,1819.0,0.13,29.240000000000002,29.915,12.350000000000001,20.0,12.55,0.0,0.5,0.0,0.5,0.0
2007-09-07,1.5,84.0,70.5,77.5,10.0,67.5,70.0,0.0,12.5,523.0,1817.0,0.43000000000000005,29.18,29.845,9.95,23.0,13.45,0.0,1.0,0.0,1.0,0.0
2007-09-08,1.5,78.0,66.0,72.0,5.0,57.5,63.5,0.0,7.0,524.0,1815.0,0.0,29.32,29.990000000000002,7.2,5.0,8.3,0.0,0.0,0.0,0.0,0.0
2007-09-09,1.5,79.5,63.0,71.5,6.0,59.0,63.5,0.0,6.5,525.0,1814.0,0.0,29.384999999999998,30.045,9.649999999999999,3.0,10.4,0.0,0.0,0.0,0.0,0.0
2007-09-10,1.5,73.5,54.5,64.0,-1.0,58.5,61.0,1.0,0.0,526.0,1812.0,0.305,29.32,30.025,7.300000000000001,2.5,9.35,0.0,1.0,0.0,0.0,0.0
2007-09-11,1.5,71.0,50.5,61.0,-2.0,44.0,52.0,4.0,0.0,527.0,1810.0,0.0,29.23,29.915,11.899999999999999,29.0,13.6,0.0,0.0,0.0,0.0,0.0
2007-09-12,1.5,66.5,46.0,56.5,-4.0,42.5,49.5,8.5,0.0,528.0,1809.0,0.0,29.43,30.115000000000002,1.85,4.0,5.8,0.0,0.0,0.0,0.0,0.0
2007-09-13,1.5,78.5,51.5,65.0,-0.5,44.0,54.0,0.5,0.5,529.0,1807.0,0.0,29.265,29.985,7.7,19.5,8.1,0.0,0.0,0.0,0.0,0.0
2007-09-14,1.5,66.5,46.0,56.5,-4.0,39.5,48.5,8.5,0.0,530.0,1805.0,0.0,29.384999999999998,30.045,11.899999999999999,32.0,13.2,0.0,0.0,0.0,0.0,0.0
