Address,Longitude,Latitude,cluster,Address
"4000 North Austin Avenue, Chicago, IL 60634, USA",-87.776792,41.953067,62,"4000 North Austin Avenue, Chicago, IL 60634, USA"
"Chicago, IL, USA",-87.629798,41.878114,34,"Chicago, IL, USA"
"4200 North Richmond Street, Chicago, IL 60618, USA",-87.702575,41.958271,51,"4200 North Richmond Street, Chicago, IL 60618, USA"
"2800 North Francisco Avenue, Chicago, IL 60618, USA",-87.700117,41.932094,57,"2800 North Francisco Avenue, Chicago, IL 60618, USA"
"1500 West Granville Avenue, Chicago, IL 60660, USA",-87.667736,41.994469,53,"1500 West Granville Avenue, Chicago, IL 60660, USA"
"1800 West Farwell Avenue, Chicago, IL 60626, USA",-87.675919,42.006858,53,"1800 West Farwell Avenue, Chicago, IL 60626, USA"
"7000 West Armitage Avenue, Chicago, IL 60707, USA",-87.800515,41.916265,49,"7000 West Armitage Avenue, Chicago, IL 60707, USA"
"2500 South Millard Avenue, Chicago, IL 60623, USA",-87.716277,41.846075,42,"2500 South Millard Avenue, Chicago, IL 60623, USA"
"2100 North Lawler Avenue, Chicago, IL 60639, USA",-87.752329,41.918705,59,"2100 North Lawler Avenue, Chicago, IL 60639, USA"
"3500 West 116th Street, Chicago, IL 60655, USA",-87.707973,41.682587,2,"3500 West 116th Street, Chicago, IL 60655, USA"
"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",-87.614258,41.725517,20,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA"
"3700 North Kedvale Avenue, Chicago, IL 60641, USA",-87.730698,41.948167,60,"3700 North Kedvale Avenue, Chicago, IL 60641, USA"
"4500 North Campbell Avenue, Chicago, IL 60625, USA",-87.69181,41.963976,51,"4500 North Campbell Avenue, Chicago, IL 60625, USA"
"4000 North Tripp Avenue, Chicago, IL 60641, USA",-87.733974,41.953705,60,"4000 North Tripp Avenue, Chicago, IL 60641, USA"
"4600 Milwaukee Avenue, Chicago, IL 60630, USA",-87.757639,41.964242,61,"4600 Milwaukee Avenue, Chicago, IL 60630, USA"
"6000 North Avondale Avenue, Chicago, IL 60631, USA",-87.797127,41.990284,46,"6000 North Avondale Avenue, Chicago, IL 60631, USA"
"7000 North Moselle Avenue, Chicago, IL 60646, USA",-87.777921,42.008314,43,"7000 North Moselle Avenue, Chicago, IL 60646, USA"
"6100 North Lemont Avenue, Chicago, IL 60646, USA",-87.747113,41.991429,44,"6100 North Lemont Avenue, Chicago, IL 60646, USA"
"2700 South Western Avenue, Chicago, IL 60608, USA",-87.686763,41.843811,39,"2700 South Western Avenue, Chicago, IL 60608, USA"
"6800 West Belden Avenue, Chicago, IL 60707, USA",-87.79518,41.921177,49,"6800 West Belden Avenue, Chicago, IL 60707, USA"
"2100 South Hamlin Avenue, Chicago, IL 60623, USA",-87.719887,41.852652,42,"2100 South Hamlin Avenue, Chicago, IL 60623, USA"
"3000 West 18th Street, Chicago, IL 60608, USA",-87.694991,41.857402,40,"3000 West 18th Street, Chicago, IL 60608, USA"
"1100 South California Avenue, Chicago, IL 60612, USA",-87.696269,41.868142,40,"1100 South California Avenue, Chicago, IL 60612, USA"
"2500 South Throop Street, Chicago, IL 60608, USA",-87.656913,41.846283,38,"2500 South Throop Street, Chicago, IL 60608, USA"
"1000 West 95th Street, Chicago, IL 60643, USA",-87.648064,41.721474,11,"1000 West 95th Street, Chicago, IL 60643, USA"
"1000 South California Avenue, Chicago, IL 60612, USA",-87.696293,41.869107,40,"1000 South California Avenue, Chicago, IL 60612, USA"
"9600 South Hoyne Avenue, Chicago, IL 60643, USA",-87.675088,41.719059,12,"9600 South Hoyne Avenue, Chicago, IL 60643, USA"
"1800 West Leland Avenue, Chicago, IL 60640, USA",-87.674677,41.966987,52,"1800 West Leland Avenue, Chicago, IL 60640, USA"
"6100 West Fullerton Avenue, Chicago, IL 60639, USA",-87.785288,41.923738,49,"6100 West Fullerton Avenue, Chicago, IL 60639, USA"
"6400 West Strong Street, Chicago, IL, USA",-87.787992,41.970248,47,"6400 West Strong Street, Chicago, IL, USA"
"1200 West Greenleaf Avenue, Chicago, IL 60626, USA",-87.66214,42.010412,53,"1200 West Greenleaf Avenue, Chicago, IL 60626, USA"
"1000 North Central Park Avenue, Chicago, IL 60651, USA",-87.716788,41.89923,58,"1000 North Central Park Avenue, Chicago, IL 60651, USA"
"2000 East 111th Street, Chicago, IL 60628, USA",-87.598865,41.692555,27,"2000 East 111th Street, Chicago, IL 60628, USA"
"3300 North Rutherford Avenue, Chicago, IL 60634, USA",-87.794896,41.94016,48,"3300 North Rutherford Avenue, Chicago, IL 60634, USA"
"1100 North Artesian Avenue, Chicago, IL 60622, USA",-87.688267,41.903002,56,"1100 North Artesian Avenue, Chicago, IL 60622, USA"
"6000 West Roscoe Street, Chicago, IL 60634, USA",-87.776385,41.942114,62,"6000 West Roscoe Street, Chicago, IL 60634, USA"
"6000 West Montrose Avenue, Chicago, IL 60634, USA",-87.777189,41.960616,47,"6000 West Montrose Avenue, Chicago, IL 60634, USA"
"3300 West Randolph Street, Chicago, IL 60612, USA",-87.705085,41.883284,56,"3300 West Randolph Street, Chicago, IL 60612, USA"
"3300 West 104th Street, Chicago, IL 60655, USA",-87.703736,41.704336,2,"3300 West 104th Street, Chicago, IL 60655, USA"
"4900 West Sunnyside Avenue, Chicago, IL 60630, USA",-87.748367,41.962728,61,"4900 West Sunnyside Avenue, Chicago, IL 60630, USA"
"3000 South Hoyne Avenue, Chicago, IL 60608, USA",-87.677737,41.836644,39,"3000 South Hoyne Avenue, Chicago, IL 60608, USA"
"4200 West 31st Street, Chicago, IL 60623, USA",-87.729384,41.837085,42,"4200 West 31st Street, Chicago, IL 60623, USA"
"1700 North Pulaski Road, Chicago, IL 60639, USA",-87.726737,41.911824,58,"1700 North Pulaski Road, Chicago, IL 60639, USA"
"2200 West Pershing Road, Chicago, IL 60609, USA",-87.678378,41.823065,41,"2200 West Pershing Road, Chicago, IL 60609, USA"
"2200 West 51st Street, Chicago, IL 60609, USA",-87.679447,41.801179,41,"2200 West 51st Street, Chicago, IL 60609, USA"
"3500 West 51st Street, Chicago, IL 60632, USA",-87.71188,41.800737,10,"3500 West 51st Street, Chicago, IL 60632, USA"
"Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA",-87.752411,41.778297,9,"Chicago Midway International Airport (MDW), 5200 West 63rd Street, Chicago, IL 60638, USA"
"6700 South Kedzie Avenue, Chicago, IL 60629, USA",-87.703047,41.77166,7,"6700 South Kedzie Avenue, Chicago, IL 60629, USA"
"7300 Cicero Avenue, Chicago, IL 60638, USA",-87.745602,41.759346,9,"7300 Cicero Avenue, Chicago, IL 60638, USA"
"2200 West 69th Street, Chicago, IL 60636, USA",-87.678649,41.768388,13,"2200 West 69th Street, Chicago, IL 60636, USA"
"5200 South Nordica Avenue, Chicago, IL 60638, USA",-87.797894,41.797616,4,"5200 South Nordica Avenue, Chicago, IL 60638, USA"
"6100 South Melvina Avenue, Chicago, IL 60638, USA",-87.776532,41.781416,4,"6100 South Melvina Avenue, Chicago, IL 60638, USA"
"1000 East 67th Street, Chicago, IL 60637, USA",-87.60088,41.773215,15,"1000 East 67th Street, Chicago, IL 60637, USA"
"3900 South Ashland Avenue, Chicago, IL 60609, USA",-87.666343,41.822536,41,"3900 South Ashland Avenue, Chicago, IL 60609, USA"
"4700 South Cornell Avenue, Chicago, IL 60615, USA",-87.585487,41.799282,16,"4700 South Cornell Avenue, Chicago, IL 60615, USA"
"5500 South Doctor Martin Luther King Junior Drive, Chicago, IL 60637, USA",-87.615989,41.794781,18,"5500 South Doctor Martin Luther King Junior Drive, Chicago, IL 60637, USA"
"6400 South Stony Island Avenue, Chicago, IL 60637, USA",-87.586427,41.778748,15,"6400 South Stony Island Avenue, Chicago, IL 60637, USA"
"7100 South South Shore Drive, Chicago, IL 60649, USA",-87.562889,41.766202,24,"7100 South South Shore Drive, Chicago, IL 60649, USA"
"7700 South Eberhart Avenue, Chicago, IL 60619, USA",-87.612922,41.754676,21,"7700 South Eberhart Avenue, Chicago, IL 60619, USA"
"4000 South Dearborn Street, Chicago, IL 60609, USA",-87.627796,41.821582,19,"4000 South Dearborn Street, Chicago, IL 60609, USA"
"5000 South Union Avenue, Chicago, IL 60609, USA",-87.642984,41.803423,17,"5000 South Union Avenue, Chicago, IL 60609, USA"
"7900 South South Chicago Avenue, Chicago, IL 60617, USA",-87.590773,41.754292,21,"7900 South South Chicago Avenue, Chicago, IL 60617, USA"
"5200 South Kolmar Avenue, Chicago, IL 60632, USA",-87.736812,41.798697,10,"5200 South Kolmar Avenue, Chicago, IL 60632, USA"
"6300 West 64th Street, Chicago, IL 60638, USA",-87.778927,41.776156,4,"6300 West 64th Street, Chicago, IL 60638, USA"
"3700 South Pulaski Road, Chicago, IL 60623, USA",-87.726549,41.82561,42,"3700 South Pulaski Road, Chicago, IL 60623, USA"
"South Doty Avenue, Chicago, IL, USA",-87.599862,41.673408,27,"South Doty Avenue, Chicago, IL, USA"
"South Stony Island Avenue, Chicago, IL, USA",-87.585413,41.726465,22,"South Stony Island Avenue, Chicago, IL, USA"
"South Torrence Avenue, Chicago, IL, USA",-87.559308,41.678618,28,"South Torrence Avenue, Chicago, IL, USA"
"South Mackinaw Avenue, Chicago, IL 60617, USA",-87.543067,41.737052,23,"South Mackinaw Avenue, Chicago, IL 60617, USA"
"South Brandon Avenue, Chicago, IL 60617, USA",-87.546587,41.740641,23,"South Brandon Avenue, Chicago, IL 60617, USA"
"3700 118th Street, Chicago, IL 60617, USA",-87.535198,41.680946,25,"3700 118th Street, Chicago, IL 60617, USA"
"3800 East 115th Street, Chicago, IL 60617, USA",-87.531635,41.686398,25,"3800 East 115th Street, Chicago, IL 60617, USA"
"East 91st Street, Chicago, IL, USA",-87.582699,41.729669,22,"East 91st Street, Chicago, IL, USA"
"2400 East 105th Street, Chicago, IL 60617, USA",-87.565666,41.704572,28,"2400 East 105th Street, Chicago, IL 60617, USA"
"8000 South Kedzie Avenue, Chicago, IL 60652, USA",-87.702716,41.74785,6,"8000 South Kedzie Avenue, Chicago, IL 60652, USA"
"6500 South Racine Avenue, Chicago, IL 60636, USA",-87.655356,41.775051,13,"6500 South Racine Avenue, Chicago, IL 60636, USA"
"East 138th Street, Riverdale, IL 60827, USA",-87.604498,41.644612,30,"East 138th Street, Riverdale, IL 60827, USA"
"8900 South Muskegon Avenue, Chicago, IL 60617, USA",-87.55551,41.733643,23,"8900 South Muskegon Avenue, Chicago, IL 60617, USA"
"9800 South Avenue G, Chicago, IL 60617, USA",-87.531657,41.717753,26,"9800 South Avenue G, Chicago, IL 60617, USA"
"South Cottage Grove Avenue, Chicago, IL, USA",-87.605294,41.750498,21,"South Cottage Grove Avenue, Chicago, IL, USA"
"South Avenue L, Chicago, IL 60617, USA",-87.536497,41.702724,26,"South Avenue L, Chicago, IL 60617, USA"
"5800 North Pulaski Road, Chicago, IL 60646, USA",-87.728492,41.984809,44,"5800 North Pulaski Road, Chicago, IL 60646, USA"
"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",-87.740029,41.772846,9,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA"
"West 37th Place, Chicago, IL, USA",-87.667827,41.825902,41,"West 37th Place, Chicago, IL, USA"
"4000 East 130th Street, Chicago, IL 60633, USA",-87.538693,41.659112,29,"4000 East 130th Street, Chicago, IL 60633, USA"
"9100 West Higgins Road, Rosemont, IL 60018, USA",-87.862995,41.992478,31,"9100 West Higgins Road, Rosemont, IL 60018, USA"
"ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA",-87.890615,41.974689,32,"ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA"
"Ohare Court, Bensenville, IL 60106, USA",-87.930995,41.957799,33,"Ohare Court, Bensenville, IL 60106, USA"
"4800 West Montana Street, Chicago, IL 60639, USA",-87.746381,41.925198,59,"4800 West Montana Street, Chicago, IL 60639, USA"
"5100 North Mont Clare Avenue, Chicago, IL 60656, USA",-87.805059,41.973845,45,"5100 North Mont Clare Avenue, Chicago, IL 60656, USA"
"8200 South Kostner Avenue, Chicago, IL 60652, USA",-87.731435,41.743402,8,"8200 South Kostner Avenue, Chicago, IL 60652, USA"
"East 91st Place, Chicago, IL, USA",-87.600963,41.728495,20,"East 91st Place, Chicago, IL, USA"
"1700 West Addison Street, Chicago, IL 60613, USA",-87.671457,41.947227,52,"1700 West Addison Street, Chicago, IL 60613, USA"
"West Garfield Boulevard, Chicago, IL, USA",-87.654234,41.793818,17,"West Garfield Boulevard, Chicago, IL, USA"
"South Wallace Street, Chicago, IL, USA",-87.639817,41.753411,14,"South Wallace Street, Chicago, IL, USA"
"1300 North Laramie Avenue, Chicago, IL 60651, USA",-87.756155,41.904194,59,"1300 North Laramie Avenue, Chicago, IL 60651, USA"
"3900 North Springfield Avenue, Chicago, IL 60618, USA",-87.725057,41.951866,60,"3900 North Springfield Avenue, Chicago, IL 60618, USA"
"1700 North Ashland Avenue, Chicago, IL 60622, USA",-87.668055,41.912563,37,"1700 North Ashland Avenue, Chicago, IL 60622, USA"
"5100 West 72nd Street, Chicago, IL 60638, USA",-87.742302,41.763733,9,"5100 West 72nd Street, Chicago, IL 60638, USA"
"5800 North Ridge Avenue, Chicago, IL 60660, USA",-87.666066,41.98728,53,"5800 North Ridge Avenue, Chicago, IL 60660, USA"
"4200 West 65th Street, Chicago, IL 60621, USA",-87.627096,41.776428,18,"4200 West 65th Street, Chicago, IL 60621, USA"
"7100 North Harlem Avenue, Chicago, IL 60631, USA",-87.807277,42.009876,46,"7100 North Harlem Avenue, Chicago, IL 60631, USA"
"6200 North Mcclellan Avenue, Chicago, IL 60646, USA",-87.770899,41.994679,43,"6200 North Mcclellan Avenue, Chicago, IL 60646, USA"
"2900 West 85th Street, Chicago, IL 60652, USA",-87.695443,41.738903,6,"2900 West 85th Street, Chicago, IL 60652, USA"
"3400 West 77th Street, Chicago, IL 60652, USA",-87.707394,41.753391,6,"3400 West 77th Street, Chicago, IL 60652, USA"
"9600 South Longwood Drive, Chicago, IL 60643, USA",-87.669539,41.71914,12,"9600 South Longwood Drive, Chicago, IL 60643, USA"
"2100 North Cannon Drive, Chicago, IL 60614, USA",-87.63359,41.925652,35,"2100 North Cannon Drive, Chicago, IL 60614, USA"
"1400 West 112th Street, Chicago, IL 60643, USA",-87.656929,41.690423,1,"1400 West 112th Street, Chicago, IL 60643, USA"
"1100 South Loomis Street, Chicago, IL 60607, USA",-87.661638,41.868533,38,"1100 South Loomis Street, Chicago, IL 60607, USA"
"1200 West 120th Street, Chicago, IL 60643, USA",-87.651515,41.675876,1,"1200 West 120th Street, Chicago, IL 60643, USA"
"South Baltimore Avenue, Chicago, IL 60617, USA",-87.54854,41.731929,23,"South Baltimore Avenue, Chicago, IL 60617, USA"
"South Oglesby Avenue, Chicago, IL, USA",-87.567726,41.738583,22,"South Oglesby Avenue, Chicago, IL, USA"
"2600 East 136th Street, Chicago, IL 60633, USA",-87.543762,41.646541,29,"2600 East 136th Street, Chicago, IL 60633, USA"
"4000 North Kedvale Avenue, Chicago, IL 60641, USA",-87.73089,41.95477,60,"4000 North Kedvale Avenue, Chicago, IL 60641, USA"
"2900 North Kenneth Avenue, Chicago, IL 60641, USA",-87.738416,41.933652,60,"2900 North Kenneth Avenue, Chicago, IL 60641, USA"
"3700 North Kilbourn Avenue, Chicago, IL 60641, USA",-87.74134,41.94828,60,"3700 North Kilbourn Avenue, Chicago, IL 60641, USA"
"4600 North Melvina Avenue, Chicago, IL 60630, USA",-87.781978,41.965571,47,"4600 North Melvina Avenue, Chicago, IL 60630, USA"
"6500 West Dakin Street, Chicago, IL 60634, USA",-87.789234,41.951878,48,"6500 West Dakin Street, Chicago, IL 60634, USA"
"3400 North Long Avenue, Chicago, IL 60641, USA",-87.761726,41.942285,62,"3400 North Long Avenue, Chicago, IL 60641, USA"
"5100 West 63rd Place, Chicago, IL 60638, USA",-87.749149,41.777689,9,"5100 West 63rd Place, Chicago, IL 60638, USA"
